method_label,buffer,acc_mean,acc_std,forget_mean,forget_std
Reservoir + Entropy-priority,10,0.30484365143427633,0.04033906839249687,0.684381456970143,0.040595532624882275
Reservoir + Entropy-priority,20,0.3969871718379688,0.03679978941997291,0.5914802357733537,0.036893453174461924
Reservoir + Entropy-priority,50,0.5339985352678944,0.03424092498415694,0.45397496918396607,0.03443468094015285
Reservoir + Entropy-priority,100,0.6836687877931819,0.03464225475537023,0.3034365840593155,0.03491356996691834
Reservoir + Entropy-priority,200,0.779977203602743,0.02454468643188721,0.20489514626085986,0.023486091286876093
Reservoir + IG-priority,10,0.29418568827299335,0.023455142164563195,0.6953461174387063,0.022414692606348586
Reservoir + IG-priority,20,0.4106539851911424,0.019519018699307493,0.5782835840781853,0.018625489332837263
Reservoir + IG-priority,50,0.5777995697985606,0.03515673256786558,0.4105446204155655,0.034695749499490884
Reservoir + IG-priority,100,0.6751100296846407,0.030228603579229824,0.312147918207912,0.030106593462200487
Reservoir + IG-priority,200,0.7367837268353474,0.03147262845716486,0.2494716173300775,0.03214296027800024
Reservoir + Uniform,10,0.29976553962799957,0.03648553692245684,0.6884777897459047,0.036616180196851374
Reservoir + Uniform,20,0.41589013378443795,0.02557090678870558,0.5723752926225759,0.024548019165742518
Reservoir + Uniform,50,0.5749949540619987,0.03571767158499228,0.413815259105064,0.03550950884402623
Reservoir + Uniform,100,0.7083784397218233,0.018231136627026173,0.2785019948424751,0.018348789140308647
Reservoir + Uniform,200,0.7885615178529841,0.014069582911352721,0.1974594876343451,0.014535776219235293
